pid,technique,granularity,windows,trialNo,time,accuracy,steps
1,TRADITIONAL,phrase,Multiple,2,4614,1,5
1,TRADITIONAL,phrase,Multiple,3,5496,1,5
2,AUTOCOMPASTE,sentence,Multiple,1,10024,1,2
2,AUTOCOMPASTE,sentence,Multiple,2,7520,1,5
2,AUTOCOMPASTE,sentence,Multiple,3,9216,1,3
2,AUTOCOMPASTE,sentence,Single,1,5496,1,5
2,AUTOCOMPASTE,sentence,Single,2,5808,1,2
2,AUTOCOMPASTE,sentence,Single,3,4744,1,2
2,AUTOCOMPASTE,paragraph,Multiple,1,10639,1,5
2,AUTOCOMPASTE,paragraph,Multiple,2,6768,1,3
2,AUTOCOMPASTE,paragraph,Multiple,3,12320,1,3
2,AUTOCOMPASTE,paragraph,Single,1,9321,1,3
2,AUTOCOMPASTE,paragraph,Single,2,6007,1,5
2,AUTOCOMPASTE,paragraph,Single,3,13072,1,3
2,AUTOCOMPASTE,phrase,Multiple,1,17393,1,6
2,AUTOCOMPASTE,phrase,Multiple,2,9311,1,15
2,AUTOCOMPASTE,phrase,Multiple,3,11920,1,7
2,AUTOCOMPASTE,phrase,Single,1,12896,1,7
2,AUTOCOMPASTE,phrase,Single,2,10737,1,11
2,AUTOCOMPASTE,phrase,Single,3,9319,1,6
2,TRADITIONAL,sentence,Multiple,1,7441,1,5
2,TRADITIONAL,sentence,Multiple,2,11560,1,5
2,TRADITIONAL,sentence,Multiple,3,15087,1,5
2,TRADITIONAL,sentence,Single,1,6352,1,5
2,TRADITIONAL,sentence,Single,2,6680,1,4
2,TRADITIONAL,sentence,Single,3,6095,1,4
2,TRADITIONAL,paragraph,Multiple,1,5497,1,5
2,TRADITIONAL,paragraph,Multiple,2,9576,1,5
2,TRADITIONAL,paragraph,Multiple,3,7703,1,5
2,TRADITIONAL,paragraph,Single,1,6912,1,4
2,TRADITIONAL,paragraph,Single,2,5032,1,6
2,TRADITIONAL,paragraph,Single,3,5719,1,10
2,TRADITIONAL,phrase,Multiple,1,9255,1,5
2,TRADITIONAL,phrase,Multiple,2,16664,1,5
2,TRADITIONAL,phrase,Multiple,3,7208,1,5
2,TRADITIONAL,phrase,Single,1,5544,1,5
2,TRADITIONAL,phrase,Single,2,6815,1,5
2,TRADITIONAL,phrase,Single,3,5057,1,5
2,AUTOCOMPASTE,sentence,Multiple,1,7329,1,3
2,AUTOCOMPASTE,sentence,Multiple,2,5193,1,4
2,AUTOCOMPASTE,sentence,Multiple,3,7960,1,3
2,AUTOCOMPASTE,sentence,Single,1,4792,1,4
2,AUTOCOMPASTE,sentence,Single,2,5487,1,5
2,AUTOCOMPASTE,sentence,Single,3,3977,1,2
2,AUTOCOMPASTE,paragraph,Multiple,1,8591,1,3
2,AUTOCOMPASTE,paragraph,Multiple,2,8537,1,3
2,AUTOCOMPASTE,paragraph,Multiple,3,8839,1,3
2,AUTOCOMPASTE,paragraph,Single,1,8168,1,3
2,AUTOCOMPASTE,paragraph,Single,2,13496,1,5
2,AUTOCOMPASTE,paragraph,Single,3,7911,1,4
2,AUTOCOMPASTE,phrase,Multiple,1,9832,1,9
2,AUTOCOMPASTE,phrase,Multiple,2,10984,1,10
2,AUTOCOMPASTE,phrase,Multiple,3,11295,1,8
2,AUTOCOMPASTE,phrase,Single,1,11631,1,7
2,AUTOCOMPASTE,phrase,Single,2,9848,1,6
2,AUTOCOMPASTE,phrase,Single,3,10271,1,9
2,TRADITIONAL,sentence,Multiple,1,7506,1,5
2,TRADITIONAL,sentence,Multiple,2,7366,1,6
2,TRADITIONAL,sentence,Multiple,3,9168,1,5
2,TRADITIONAL,sentence,Single,1,10160,1,5
2,TRADITIONAL,sentence,Single,2,7056,1,5
2,TRADITIONAL,sentence,Single,3,8864,1,5
2,TRADITIONAL,paragraph,Multiple,1,5240,1,5
2,TRADITIONAL,paragraph,Multiple,2,22176,1,5
2,TRADITIONAL,paragraph,Multiple,3,11120,1,5
2,TRADITIONAL,paragraph,Single,1,5664,1,5
2,TRADITIONAL,paragraph,Single,2,7136,1,5
2,TRADITIONAL,paragraph,Single,3,9496,1,5
2,TRADITIONAL,phrase,Multiple,1,8016,1,6
2,TRADITIONAL,phrase,Multiple,2,5648,1,6
2,TRADITIONAL,phrase,Multiple,3,11888,1,5
2,TRADITIONAL,phrase,Single,1,7760,1,5
2,TRADITIONAL,phrase,Single,2,4560,1,4
2,TRADITIONAL,phrase,Single,3,6529,1,4
2,AUTOCOMPASTE,sentence,Multiple,1,6426,1,2
2,AUTOCOMPASTE,sentence,Multiple,2,14183,1,3
2,AUTOCOMPASTE,sentence,Multiple,3,10776,1,4
2,AUTOCOMPASTE,sentence,Single,1,4785,1,4
2,AUTOCOMPASTE,sentence,Single,2,5919,1,3
2,AUTOCOMPASTE,sentence,Single,3,5192,1,4
2,AUTOCOMPASTE,paragraph,Multiple,1,8546,1,5
2,AUTOCOMPASTE,paragraph,Multiple,2,7470,1,2
2,AUTOCOMPASTE,paragraph,Multiple,3,6385,1,5
2,AUTOCOMPASTE,paragraph,Single,1,6463,1,3
2,AUTOCOMPASTE,paragraph,Single,2,12225,1,5
2,AUTOCOMPASTE,paragraph,Single,3,8944,1,5
2,AUTOCOMPASTE,phrase,Multiple,1,9904,1,6
2,AUTOCOMPASTE,phrase,Multiple,2,11313,1,4
2,AUTOCOMPASTE,phrase,Multiple,3,10247,1,9
2,AUTOCOMPASTE,phrase,Single,1,8607,0,9
2,AUTOCOMPASTE,phrase,Single,2,11001,1,7
2,AUTOCOMPASTE,phrase,Single,3,11112,1,7
2,TRADITIONAL,sentence,Multiple,1,13512,1,5
2,TRADITIONAL,sentence,Multiple,2,4272,1,5
2,TRADITIONAL,sentence,Multiple,3,5367,1,5
2,TRADITIONAL,sentence,Single,1,5328,1,5
2,TRADITIONAL,sentence,Single,2,4648,1,5
2,TRADITIONAL,sentence,Single,3,5489,1,5
2,TRADITIONAL,paragraph,Multiple,1,12503,1,5
2,TRADITIONAL,paragraph,Multiple,2,6071,1,5
2,TRADITIONAL,paragraph,Multiple,3,8737,1,6
2,TRADITIONAL,paragraph,Single,1,6232,1,5
2,TRADITIONAL,paragraph,Single,2,6064,1,8
2,TRADITIONAL,paragraph,Single,3,3848,1,5
2,TRADITIONAL,phrase,Multiple,1,9104,1,5
2,TRADITIONAL,phrase,Multiple,2,7040,1,5
2,TRADITIONAL,phrase,Multiple,3,5567,1,5
2,TRADITIONAL,phrase,Single,1,7104,1,5
2,TRADITIONAL,phrase,Single,2,5416,1,4
2,TRADITIONAL,phrase,Single,3,6249,1,5
3,AUTOCOMPASTE,paragraph,Single,1,10301,1,3
3,AUTOCOMPASTE,paragraph,Single,2,7804,1,3
3,AUTOCOMPASTE,paragraph,Single,3,11943,1,3
3,AUTOCOMPASTE,paragraph,Multiple,1,22046,1,5
3,AUTOCOMPASTE,paragraph,Multiple,2,8778,1,3
3,AUTOCOMPASTE,paragraph,Multiple,3,12638,1,3
3,AUTOCOMPASTE,phrase,Single,1,10874,1,5
3,AUTOCOMPASTE,phrase,Single,2,10778,1,6
3,AUTOCOMPASTE,phrase,Single,3,14324,1,6
3,AUTOCOMPASTE,phrase,Multiple,1,25743,1,9
3,AUTOCOMPASTE,phrase,Multiple,2,18648,1,8
3,AUTOCOMPASTE,phrase,Multiple,3,16541,1,6
3,AUTOCOMPASTE,sentence,Single,1,6029,1,3
3,AUTOCOMPASTE,sentence,Single,2,7149,1,2
3,AUTOCOMPASTE,sentence,Single,3,6439,1,2
3,AUTOCOMPASTE,sentence,Multiple,1,5426,1,2
3,AUTOCOMPASTE,sentence,Multiple,2,7306,1,5
3,AUTOCOMPASTE,sentence,Multiple,3,4634,1,2
3,TRADITIONAL,paragraph,Single,1,6293,1,5
3,TRADITIONAL,paragraph,Single,2,6400,1,5
3,TRADITIONAL,paragraph,Single,3,5582,1,5
3,TRADITIONAL,paragraph,Multiple,1,5713,1,5
3,TRADITIONAL,paragraph,Multiple,2,29804,1,5
3,TRADITIONAL,paragraph,Multiple,3,5469,1,4
3,TRADITIONAL,phrase,Single,1,5498,1,4
3,TRADITIONAL,phrase,Single,2,7453,1,5
3,TRADITIONAL,phrase,Single,3,6211,1,4
3,TRADITIONAL,phrase,Multiple,1,15345,1,5
3,TRADITIONAL,phrase,Multiple,2,7174,1,5
3,TRADITIONAL,phrase,Multiple,3,11137,1,4
3,TRADITIONAL,sentence,Single,1,6993,1,5
3,TRADITIONAL,sentence,Single,2,5504,1,5
3,TRADITIONAL,sentence,Single,3,6360,1,5
3,TRADITIONAL,sentence,Multiple,1,6251,1,5
3,TRADITIONAL,sentence,Multiple,2,10000,1,5
3,TRADITIONAL,sentence,Multiple,3,5596,1,5
3,AUTOCOMPASTE,paragraph,Single,1,13083,1,3
3,AUTOCOMPASTE,paragraph,Single,2,26136,1,3
3,AUTOCOMPASTE,paragraph,Single,3,10309,1,6
3,AUTOCOMPASTE,paragraph,Multiple,1,6236,1,3
3,AUTOCOMPASTE,paragraph,Multiple,2,9496,1,3
3,AUTOCOMPASTE,paragraph,Multiple,3,5909,1,3
3,AUTOCOMPASTE,phrase,Single,1,11232,1,8
3,AUTOCOMPASTE,phrase,Single,2,8098,1,6
3,AUTOCOMPASTE,phrase,Single,3,8298,1,6
3,AUTOCOMPASTE,phrase,Multiple,1,11260,1,8
3,AUTOCOMPASTE,phrase,Multiple,2,25579,1,16
3,AUTOCOMPASTE,phrase,Multiple,3,10960,1,6
3,AUTOCOMPASTE,sentence,Single,1,6478,1,3
3,AUTOCOMPASTE,sentence,Single,2,5256,1,2
3,AUTOCOMPASTE,sentence,Single,3,4011,1,2
3,AUTOCOMPASTE,sentence,Multiple,1,5174,1,3
3,AUTOCOMPASTE,sentence,Multiple,2,4207,1,2
3,AUTOCOMPASTE,sentence,Multiple,3,5507,1,4
3,TRADITIONAL,paragraph,Single,1,6492,1,4
3,TRADITIONAL,paragraph,Single,2,5544,1,5
3,TRADITIONAL,paragraph,Single,3,5580,1,4
3,TRADITIONAL,paragraph,Multiple,1,5680,1,5
3,TRADITIONAL,paragraph,Multiple,2,19205,1,5
3,TRADITIONAL,paragraph,Multiple,3,5836,1,5
3,TRADITIONAL,phrase,Single,1,5886,1,5
3,TRADITIONAL,phrase,Single,2,5078,1,4
3,TRADITIONAL,phrase,Single,3,4822,1,4
3,TRADITIONAL,phrase,Multiple,1,13288,1,5
3,TRADITIONAL,phrase,Multiple,2,19411,1,6
3,TRADITIONAL,phrase,Multiple,3,27403,1,5
3,TRADITIONAL,sentence,Single,1,3860,1,4
3,TRADITIONAL,sentence,Single,2,7222,1,5
3,TRADITIONAL,sentence,Single,3,5422,1,4
3,TRADITIONAL,sentence,Multiple,1,6145,1,4
3,TRADITIONAL,sentence,Multiple,2,10286,1,5
3,TRADITIONAL,sentence,Multiple,3,9051,1,5
3,AUTOCOMPASTE,paragraph,Single,1,4933,1,5
3,AUTOCOMPASTE,paragraph,Single,2,12575,1,3
